#       x                y            Correxpect        Corryield
     0.312500         0.837500         0.021532         0.261620
     0.312500         0.862500         0.020227         0.256690
     0.312500         0.887500         0.019002         0.252124
     0.312500         0.912500         0.017850         0.246969
     0.312500         0.937500         0.016769         0.240418
     0.312500         0.962500         0.015753         0.231866
     0.312500         0.987500         0.014799         0.220943
     0.337500         0.012500         0.035500         0.433598
     0.337500         0.037500         0.037789         0.464458
     0.337500         0.062500         0.040227         0.499827
     0.337500         0.087500         0.042821         0.539234
     0.337500         0.112500         0.045583         0.581853
     0.337500         0.137500         0.048522         0.626547
     0.337500         0.162500         0.051652         0.671928
     0.337500         0.187500         0.054983         0.716436
     0.337500         0.212500         0.058529         0.758424
     0.337500         0.237500         0.062304         0.796249
     0.337500         0.262500         0.066322         0.828367
     0.337500         0.287500         0.070600         0.853419
     0.337500         0.312500         0.075153         0.870307
     0.337500         0.337500         0.080000         0.878255
     0.337500         0.362500         0.075153         0.876853
     0.337500         0.387500         0.070600         0.866079
     0.337500         0.412500         0.066322         0.846301
     0.337500         0.437500         0.062304         0.818253
     0.337500         0.462500         0.058529         0.782996
     0.337500         0.487500         0.054983         0.741857
     0.337500         0.512500         0.051652         0.696359
     0.337500         0.537500         0.048522         0.648135
     0.337500         0.562500         0.045583         0.598843
     0.337500         0.587500         0.042821         0.550077
     0.337500         0.612500         0.040227         0.503290
     0.337500         0.637500         0.037789         0.459721
     0.337500         0.662500         0.035500         0.420338
     0.337500         0.687500         0.033349         0.385803
     0.337500         0.712500         0.031328         0.356449
     0.337500         0.737500         0.029430         0.332284
     0.337500         0.762500         0.027647         0.313010
     0.337500         0.787500         0.025972         0.298063
     0.337500         0.812500         0.024399         0.286666
     0.337500         0.837500         0.022920         0.277895
     0.337500         0.862500         0.021532         0.270749
     0.337500         0.887500         0.020227         0.264231
     0.337500         0.912500         0.019002         0.257412
     0.337500         0.937500         0.017850         0.249503
     0.337500         0.962500         0.016769         0.239903
     0.337500         0.987500         0.015753         0.228241
     0.362500         0.012500         0.033349         0.390540
     0.362500         0.037500         0.035500         0.419686
     0.362500         0.062500         0.037789         0.454276
     0.362500         0.087500         0.040227         0.493857
     0.362500         0.112500         0.042821         0.537600
     0.362500         0.137500         0.045583         0.584343
     0.362500         0.162500         0.048522         0.632656
     0.362500         0.187500         0.051652         0.680916
     0.362500         0.212500         0.054983         0.727394
     0.362500         0.237500         0.058529         0.770350
     0.362500         0.262500         0.062304         0.808127
     0.362500         0.287500         0.066322         0.839239
     0.362500         0.312500         0.070600         0.862454
     0.362500         0.337500         0.075153         0.876853
     0.362500         0.362500         0.080000         0.881880
     0.362500         0.387500         0.075153         0.877369
     0.362500         0.412500         0.070600         0.863545
     0.362500         0.437500         0.066322         0.841013
     0.362500         0.462500         0.062304         0.810712
     0.362500         0.487500         0.058529         0.773867
     0.362500         0.512500         0.054983         0.731916
     0.362500         0.537500         0.051652         0.686428
     0.362500         0.562500         0.048522         0.639024
